meeting_date,decision,decision_num,target_rate_lag1,target_rate_lag2,target_rate_lag3,target_rate_lag4,PCE_inflation_gap_lag1,PCE_inflation_gap_lag2,PCE_inflation_gap_lag3,PCE_inflation_gap_lag4,unemployment_gap_lag1,unemployment_gap_lag2,unemployment_gap_lag3,unemployment_gap_lag4,output_gap_pct_lag1,output_gap_pct_lag2,output_gap_pct_lag3,output_gap_pct_lag4,NFCI_lag1,NFCI_lag2,NFCI_lag3,NFCI_lag4,lagged_upper_bound,PCE_gap_change_1m,unemployment_gap_change_1m,output_gap_change_1q,nfci_change_1m,prev_decision,prev_decision_num,time_since_last_change,consecutive_same
2013-03-20,same,0.0,0.25,0.25,0.25,0.25,-0.5291924936630759,-0.3756171586124495,-0.02312250211615563,-0.32202899482465064,3.09569988838731,2.990045301431084,2.8787361275186303,2.8734006188213135,-2.486430359134567,-2.660302964213568,-3.0080481743715692,-2.904896548536281,-0.63025,-0.582,-0.54625,-0.5055000000000001,0.25,-0.15357533505062637,0.1056545869562262,0.17387260507900093,-0.048250000000000015,same,0.0,32,32
2013-05-01,same,0.0,0.25,0.25,0.25,0.25,-0.7230070849772989,-0.5291924936630759,-0.3756171586124495,-0.02312250211615563,2.6075944655124568,3.09569988838731,2.990045301431084,2.8787361275186303,-2.6051079646141715,-2.486430359134567,-2.660302964213568,-3.0080481743715692,-0.6566000000000001,-0.63025,-0.582,-0.54625,0.25,-0.19381459131422307,-0.48810542287485337,-0.1186776054796046,-0.026350000000000096,same,0.0,33,33
2013-06-19,same,0.0,0.25,0.25,0.25,0.25,-0.7709698627812882,-0.7230070849772989,-0.5291924936630759,-0.3756171586124495,2.6197515059603873,2.6075944655124568,3.09569988838731,2.990045301431084,-2.5361271662494596,-2.6051079646141715,-2.486430359134567,-2.660302964213568,-0.7093999999999999,-0.6566000000000001,-0.63025,-0.582,0.25,-0.047962777803989276,0.012157040447930534,0.06898079836471194,-0.05279999999999985,same,0.0,34,34
2013-07-31,same,0.0,0.25,0.25,0.25,0.25,-0.49449360239352913,-0.7709698627812882,-0.7230070849772989,-0.5291924936630759,2.625961257845743,2.6197515059603873,2.6075944655124568,3.09569988838731,-2.407807565144945,-2.5361271662494596,-2.6051079646141715,-2.486430359134567,-0.648,-0.7093999999999999,-0.6566000000000001,-0.63025,0.25,0.2764762603877591,0.006209751885355885,0.12831960110451446,0.0613999999999999,same,0.0,35,35
2013-09-18,same,0.0,0.25,0.25,0.25,0.25,-0.40488715425079747,-0.49449360239352913,-0.7709698627812882,-0.7230070849772989,2.4321710097311,2.625961257845743,2.6197515059603873,2.6075944655124568,-2.279487964040431,-2.407807565144945,-2.5361271662494596,-2.6051079646141715,-0.6445000000000001,-0.648,-0.7093999999999999,-0.6566000000000001,0.25,0.08960644814273167,-0.1937902481146434,0.12831960110451401,0.0034999999999999476,same,0.0,36,36
2013-10-30,same,0.0,0.25,0.25,0.25,0.25,-0.8587145521798272,-0.40488715425079747,-0.49449360239352913,-0.7709698627812882,2.345047993328201,2.4321710097311,2.625961257845743,2.6197515059603873,-2.0140800123179243,-2.279487964040431,-2.407807565144945,-2.5361271662494596,-0.6687500000000001,-0.6445000000000001,-0.648,-0.7093999999999999,0.25,-0.4538273979290297,-0.08712301640289866,0.26540795172250675,-0.024249999999999994,same,0.0,37,37
2013-12-18,same,0.0,0.25,0.25,0.25,0.25,-1.0238930800428907,-0.8587145521798272,-0.40488715425079747,-0.49449360239352913,2.3514864851267516,2.345047993328201,2.4321710097311,2.625961257845743,-1.881376036456671,-2.0140800123179243,-2.279487964040431,-2.407807565144945,-0.70625,-0.6687500000000001,-0.6445000000000001,-0.648,0.25,-0.16517852786306353,0.006438491798550494,0.13270397586125338,-0.03749999999999998,same,0.0,38,38
2014-01-29,same,0.0,0.25,0.25,0.25,0.25,-0.6118998044040573,-1.0238930800428907,-0.8587145521798272,-0.40488715425079747,1.864747408437898,2.3514864851267516,2.345047993328201,2.4321710097311,-2.41276683780565,-1.881376036456671,-2.0140800123179243,-2.279487964040431,-0.77675,-0.70625,-0.6687500000000001,-0.6445000000000001,0.25,0.41199327563883337,-0.4867390766888535,-0.5313908013489792,-0.07050000000000001,same,0.0,39,39
2014-03-19,same,0.0,0.25,0.25,0.25,0.25,-0.5945945945945867,-0.6118998044040573,-1.0238930800428907,-0.8587145521798272,1.7713778700934713,1.864747408437898,2.3514864851267516,2.345047993328201,-2.6784622384801398,-2.41276683780565,-1.881376036456671,-2.0140800123179243,-0.77,-0.77675,-0.70625,-0.6687500000000001,0.25,0.01730520980947059,-0.09336953834442685,-0.2656954006744896,0.006750000000000034,same,0.0,40,40
2014-04-30,same,0.0,0.25,0.25,0.25,0.25,-0.6102965817694299,-0.5945945945945867,-0.6118998044040573,-1.0238930800428907,1.8849440861233306,1.7713778700934713,1.864747408437898,2.3514864851267516,-2.151611716419502,-2.6784622384801398,-2.41276683780565,-1.881376036456671,-0.7785,-0.77,-0.77675,-0.70625,0.25,-0.01570198717484317,0.11356621602985939,0.5268505220606379,-0.008499999999999952,same,0.0,41,41
